officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,0,1,0,sleep,2020-03-05 07:30:01
0,0,0,0,0,0,sleep,2020-03-05 07:37:23
0,0,0,0,0,1,sleep,2020-03-05 07:37:25
0,0,0,0,0,0,sleep,2020-03-05 07:48:35
0,0,0,0,1,0,sleep,2020-03-05 07:48:36
0,0,0,0,0,1,sleep,2020-03-05 07:48:45
0,0,0,0,0,0,sleep,2020-03-05 07:48:47
0,0,0,1,0,0,sleep,2020-03-05 07:48:49
0,0,1,1,0,0,sleep,2020-03-05 07:48:55
0,0,1,0,0,0,sleep,2020-03-05 07:48:56
0,0,0,1,0,0,sleep,2020-03-05 08:06:35
0,0,1,1,0,0,sleep,2020-03-05 08:06:38
0,0,0,1,0,0,sleep,2020-03-05 08:06:39
1,0,0,0,0,0,sleep,2020-03-05 08:06:43
0,0,0,1,0,0,sleep,2020-03-05 08:06:56
0,0,0,0,0,0,personal,2020-03-05 08:06:58
0,0,0,0,0,1,personal,2020-03-05 08:07:01
0,0,0,0,0,0,personal,2020-03-05 08:07:47
0,0,0,1,0,0,personal,2020-03-05 08:07:48
1,0,0,0,0,0,personal,2020-03-05 08:07:50
1,0,0,1,0,0,personal,2020-03-05 08:07:52
0,0,0,1,0,0,personal,2020-03-05 08:07:53
0,0,0,0,0,0,personal,2020-03-05 08:07:57
